,Title,Production company,Cast and crew,genres
371,The Last Black Man in San Francisco,A24 / Plan B Entertainment,"Joe Talbot (director/screenplay); Rob Richert (screenplay); Jimmie Fails, Jonathan Majors, Danny Glover, Tichina Arnold, Rob Morgan, Mike Epps, Finn Wittrock, Thora Birch",Drama
372,Changeland,Gravitas Ventures,"Seth Green (director/screenplay); Breckin Meyer, Macaulay Culkin, Brenda Song, Clare Grant, Randy Orton",Comedy Drama
373,Men in Black: International,Columbia Pictures / Amblin Entertainment / Tencent Pictures,"F. Gary Gray (director); Art Marcum and Matt Holloway (screenplay); Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson, Rafe Spall, Les Twins, Emma Thompson, Liam Neeson",Comedy Science Fiction
374,Shaft,Warner Bros. Pictures / New Line Cinema / Davis Entertainment,"Tim Story (director); Kenya Barris, Alex Barnow (screenplay); Samuel L. Jackson, Jessie Usher, Richard Roundtree, Alexandra Shipp, Regina Hall, Matt Lauria, Titus Welliver, Method Man",Action Adventure Crime Thriller
375,The Dead Don't Die,Focus Features,"Jim Jarmusch (director/screenplay); Bill Murray, Adam Driver, Tilda Swinton, Chloë Sevigny, Steve Buscemi, Caleb Landry Jones, Rosie Perez, Iggy Pop, Sara Driver, RZA, Selena Gomez, Carol Kane, Tom Waits",Comedy Horror Fantasy
376,Murder Mystery,Netflix / Happy Madison Productions,"Kyle Newacheck (director); James Vanderbilt (screenplay); Adam Sandler, Jennifer Aniston, Luke Evans, Gemma Arterton, Adeel Akhtar, Terence Stamp",Comedy
377,Plus One,RLJE Films / Red Hour Productions / Studio71,"Jeff Chan, Andrew Rhymer (director/screenplay); Maya Erskine, Jack Quaid, Beck Bennett, Rosalind Chao, Perrey Reeves, Ed Begley Jr.",Romance Comedy Drama
378,Being Frank,The Film Arcade,"Miranda Bailey (director); Glen Lakin (screenplay); Jim Gaffigan, Logan Miller, Samantha Mathis, Alex Karpovsky, Anna Gunn",Comedy
379,Toy Story 4,Walt Disney Pictures / Pixar,"Josh Cooley (director); Stephany Folsom, Andrew Stanton (screenplay); Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Jordan Peele, Madeleine McGraw, Christina Hendricks, Keanu Reeves, Ally Maki, Jay Hernandez, Lori Alan, Joan Cusack",Family Adventure Animation Comedy Fantasy Drama
380,Anna,Summit Entertainment / EuropaCorp,"Luc Besson (director); Luc Besson, Marc Shmuger (screenplay); Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Alexander Petrov",Thriller Action
381,Child's Play,Orion Pictures / Bron Creative,"Lars Klevberg (director); Tyler Burton Smith (screenplay); Aubrey Plaza, Gabriel Bateman, Brian Tyree Henry, Mark Hamill",Horror
382,Annabelle Comes Home,Warner Bros. Pictures / New Line Cinema,"Gary Dauberman (director/screenplay); Mckenna Grace, Madison Iseman, Katie Sarife, Patrick Wilson, Vera Farmiga",Horror Thriller Mystery
383,Yesterday,Universal Pictures / Perfect World Pictures / Working Title Films,"Danny Boyle (director); Richard Curtis (screenplay); Himesh Patel, Lily James, Ed Sheeran, Kate McKinnon",Music Comedy Romance Fantasy
384,Ophelia,IFC Films,"Claire McCarthy (director); Semi Chellas (screenplay); Daisy Ridley, Naomi Watts, Clive Owen, George MacKay, Tom Felton, Devon Terrell",Romance History
385,Killers Anonymous,Lionsgate,"Martin Owen (director/screenplay); Elizabeth Morris, Seth Johnson (screenplay); Tommy Flanagan, Rhyon Nicole Brown, Jessica Alba, Gary Oldman",Action Thriller Crime Mystery
386,Spider-Man: Far From Home,Columbia Pictures / Marvel Studios,"Jon Watts (director); Chris McKenna, Erik Sommers (screenplay); Tom Holland, Samuel L. Jackson, Zendaya, Cobie Smulders, Jon Favreau, J. B. Smoove, Jacob Batalon, Martin Starr, Marisa Tomei, Jake Gyllenhaal",Action Adventure Science Fiction
387,Escape Plan: The Extractors,Summit Entertainment,"John Herzfeld (director); John Herzfeld, Miles Chapman (screenplay); Sylvester Stallone, Curtis Jackson, Dave Bautista",Action Thriller Crime
388,Midsommar,A24,"Ari Aster (director/screenplay); Florence Pugh, Jack Reynor, William Jackson Harper, Vilhelm Blomgren, Will Poulter",Horror Drama Mystery
389,Stuber,20th Century Fox,"Michael Dowse (director); Tripper Clancy (screenplay); Kumail Nanjiani, Dave Bautista, Iko Uwais, Natalie Morales, Betty Gilpin, Jimmy Tatro, Mira Sorvino, Karen Gillan",Action Comedy
390,Crawl,Paramount Pictures / Ghost House Pictures,"Alexandre Aja (director); Shawn Rasmussen, Michael Rasmussen (screenplay); Kaya Scodelario, Barry Pepper",Thriller Horror
391,Point Blank,Netflix / War Party,"Joe Lynch (director); Adam G. Simon (screenplay); Frank Grillo, Anthony Mackie, Marcia Gay Harden, Teyonah Parris",Action Thriller
392,The Farewell,A24,"Lulu Wang (director/screenplay); Awkwafina, Tzi Ma, Diana Lin, Zhao Shuzhen",Comedy Drama
393,Darlin',Dark Sky Films,"Pollyanna Mcintosh (director/screenplay); Pollyanna McIntosh, Cooper Andrews, Nora-Jane Noone, Bryan Batt",Horror Mystery
394,The Lion King,Walt Disney Pictures,"Jon Favreau (director); Jeff Nathanson (screenplay); Donald Glover, Seth Rogen, Chiwetel Ejiofor, Alfre Woodard, Billy Eichner, John Kani, John Oliver, Beyoncé Knowles-Carter, James Earl Jones",Family Animation Drama
395,Once Upon a Time in Hollywood,Columbia Pictures / Heyday Films,"Quentin Tarantino (director/screenplay); Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley, Timothy Olyphant, Julia Butters, Austin Butler, Dakota Fanning, Bruce Dern, Mike Moh, Luke Perry, Damian Lewis, Al Pacino, Kurt Russell",Comedy Drama Thriller
396,Skin,A24 / Voltage Pictures,"Guy Nattiv (director/screenplay); Jamie Bell, Danielle Macdonald, Daniel Henshall, Bill Camp, Louisa Krause, Mike Colter, Kylie Rogers, Vera Farmiga",Thriller Action Drama
397,The Red Sea Diving Resort,Netflix / Bron Studios,"Gideon Raff (director/screenplay); Chris Evans, Haley Bennett, Michael K. Williams, Michiel Huisman, Alessandro Nivola, Greg Kinnear, Ben Kingsley",Drama Thriller History
398,Fast & Furious Presents: Hobbs & Shaw,Universal Pictures / Seven Bucks Productions,"David Leitch (director); Chris Morgan, Drew Pearce (screenplay); Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby, Eiza González, Cliff Curtis, Helen Mirren",Action Adventure Comedy
399,A Score to Settle,Minds Eye Entertainment,"Shawn Ku (director); John Stuart Newman, Christian Swegal (screenplay); Nicolas Cage, Benjamin Bratt",Action Thriller Drama
400,The Operative,Vertical Entertainment,"Yuval Adler (director/screenplay); Diane Kruger, Martin Freeman, Cas Anvar",Drama Thriller
401,Dora and the Lost City of Gold,Paramount Players / Nickelodeon Movies / Walden Media / MRC,"James Bobin (director); Nicholas Stoller, Matthew Robinson (screenplay); Isabela Moner, Eugenio Derbez, Michael Peña, Eva Longoria, Temuera Morrison, Danny Trejo, Benicio del Toro",Adventure Comedy Family
402,The Kitchen,Warner Bros. Pictures / New Line Cinema / Vertigo DC / Bron Studios,"Andrea Berloff (director/screenplay); Melissa McCarthy, Tiffany Haddish, Elisabeth Moss, Domhnall Gleeson, James Badge Dale, Brian d'Arcy James, Margo Martindale, Common, Bill Camp",Action Crime Drama
403,The Art of Racing in the Rain,20th Century Fox,"Simon Curtis (director); Mark Bomback (screenplay); Milo Ventimiglia, Amanda Seyfried, Kathy Baker, Martin Donovan, Gary Cole, Kevin Costner",Comedy Drama Romance
404,Scary Stories to Tell in the Dark,CBS Films / Entertainment One / Lionsgate,"André Øvredal (director); Dan Hageman, Kevin Hageman (screenplay); Zoe Colletti, Michael Garza, Gabriel Rush, Austin Zajur, Natalie Ganzhorn, Austin Abrams, Dean Norris, Gil Bellows, Lorraine Toussaint",Horror Thriller
405,The Peanut Butter Falcon,Roadside Attractions,"Tyler Nilson, Michael Schwartz (director/screenplay); Shia LaBeouf, Dakota Johnson, John Hawkes, Bruce Dern, Jon Bernthal, Thomas Haden Church",Adventure Drama Comedy
406,After the Wedding,Sony Pictures Classics,"Bart Freundlich (director/screenplay); Michelle Williams, Julianne Moore, Billy Crudup, Abby Quinn",Drama
407,Light of My Life,Saban Films,"Casey Affleck (director/screenplay); Casey Affleck, Anna Pniowsky, Tom Bower, Elisabeth Moss",Science Fiction Drama
408,The Angry Birds Movie 2,Columbia Pictures / Sony Pictures Animation / Rovio Animation,"Thurop Van Orman (director), John Rice (co-director); Peter Ackerman, Eyal Podell, Jonathon E. Stewart (screenplay); Jason Sudeikis, Josh Gad, Leslie Jones, Bill Hader, Rachel Bloom, Awkwafina, Sterling K. Brown, Eugenio Derbez, Danny McBride, Peter Dinklage",Animation Comedy Adventure Family
409,Good Boys,Universal Pictures / Good Universe / Point Grey Pictures,"Gene Stupnitsky (director/screenplay); Lee Eisenberg (screenplay); Jacob Tremblay, Brady Noon, Keith L. Williams, Molly Gordon, Midori Francis, Will Forte, Lil Rel Howery, Retta",Comedy
410,Blinded by the Light,Warner Bros. Pictures / New Line Cinema,"Gurinder Chadha (director/screenplay); Paul Mayeda Berges, Sarfraz Manzoor (screenplay); Viveik Kalra, Kulvinder Ghir, Meera Ganatra, Nell Williams, Aaron Phagura, Dean-Charles Chapman",Drama Comedy
411,"Where'd You Go, Bernadette",Annapurna Pictures,"Richard Linklater (director/screenplay); Holly Gent, Vincent Palmo Jr. (screenplay); Cate Blanchett, Billy Crudup, Emma Nelson, Kristen Wiig, James Urbaniak, Judy Greer, Troian Bellisario, Zoë Chao, Laurence Fishburne",Drama Comedy
412,47 Meters Down: Uncaged,Entertainment Studios,"Johannes Roberts (director/screenplay); Ernest Riera (screenplay); John Corbett, Nia Long, Sophie Nelisse, Corinne Foxx, Sistine Stallone, Brianne Tju, Davi Santos, Khylin Rhambo, Brec Bassinger",Horror Drama Adventure
413,Gwen,BFI / Endor Productions,"William McGregor (director/screenplay); Maxine Peake, Eleanor Worthington Cox, Richard Harrington, Mark Lewis Jones, Kobna Holdbrook-Smith",Drama Mystery Horror History
414,Ready or Not,Fox Searchlight Pictures,"Matt Bettinelli-Olpin, Tyler Gillett (director); Guy Busick, R. Christopher Murphy (screenplay); Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny, Andie MacDowell",Horror Thriller Comedy
415,Angel Has Fallen,Lionsgate,"Ric Roman Waugh (director); Creighton Rothenberger, Katrin Benedikt (screenplay); Gerard Butler, Morgan Freeman, Jada Pinkett Smith, Nick Nolte, Lance Reddick, Danny Huston, Tim Blake Nelson",Action Thriller
416,Brittany Runs a Marathon,Amazon Studios,"Paul Downs Colaizzo (director/screenplay); Jillian Bell, Michaela Watkins, Utkarsh Ambudkar, Lil Rel Howery, Micah Stock",Comedy Drama
417,Overcomer,TriStar Pictures / Sony Affirm,"Alex Kendrick (director/screenplay); Stephen Kendrick (screenplay); Alex Kendrick, Priscilla Shirer, Ben Davies, Shari Rigby, Jack Sterner",Drama
418,Jacob's Ladder,Vertical Entertainment / LD Entertainment,"David M. Rosenthal (director); Jeff Buhler, Sarah Thorp (screenplay); Michael Ealy, Jesse Williams, Nicole Beharie",Drama Mystery Horror
419,Burn,Yale Productions / Hopscotch Films,"Mike Gan (director/screenplay); Tilda Cobham-Hervey, Suki Waterhouse, Harry Shum Jr., Shiloh Fernandez, Josh Hutcherson",Thriller
420,Official Secrets,IFC Films,"Gavin Hood (director/screenplay); Gregory Bernstein, Sara Bernstein (screenplay); Keira Knightley, Matt Smith, Matthew Goode, Adam Bakri, Rhys Ifans, Ralph Fiennes",Drama Thriller History
421,Don't Let Go,Blumhouse Productions / Briarcliff Entertainment,"Jacob Aaron Estes (director); Jacob Aaron Estes (screenplay); Jacob Aaron Estes, Drew Daywalt (story); David Oyelowo, Storm Reid, Byron Mann, Mykelti Williamson",Science Fiction Thriller Mystery Crime
422,Itsy Bitsy,Shout! Studios,"Micah Gallo (director); Jason Alvino, Byran Dick, Micah Gallo (screenplay); Bruce Davison, Denise Crosby, Elizabeth Roberts, Arman Darbo, Treva Etienne, Eileen Dietz, Grace Shen",Horror Thriller
423,The Fanatic,The Wonderfilm Media Corporation / Daniel Grodnik Productions,"Fred Durst (director/screenplay), Dave Bekerman (screenplay); John Travolta, Devon Sawa, Ana Golja, Jacob Grodnik, James Paxton, Jeff Chase, Luis Da Silva",Crime Thriller
424,It Chapter Two,Warner Bros. Pictures / New Line Cinema,"Andy Muschietti (director); Gary Dauberman (screenplay); James McAvoy, Jessica Chastain, Bill Hader, Isaiah Mustafa, Jay Ryan, James Ransone, Andy Bean, Jaeden Martell, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jeremy Ray Taylor, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård",Horror Fantasy
425,Satanic Panic,RLJE Films / Fangoria / Aperture Ent.,"Chelsea Stardust (director); Grady Hendrix (screenplay); Hayley Griffith, Ruby Modine, Arden Myrin, A. J. Bowen, Jordan Ladd, Rebecca Romijn, Jerry O'Connell, Hannah Stocking",Horror Comedy
426,The Obituary of Tunde Johnson,Zgreen Entertainment,"Ali LeRoi (director); Stanley Kalu (screenplay); Steven Silver, Nicola Peltz",Drama Thriller
427,The Goldfinch,Warner Bros. Pictures / Amazon Studios,"John Crowley (director); Peter Straughan (screenplay); Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman",Drama
428,Hustlers,STX Entertainment,"Lorene Scafaria (director/screenplay); Constance Wu, Jennifer Lopez, Julia Stiles, Keke Palmer, Lili Reinhart, Lizzo, Cardi B",Drama Comedy Crime
429,The Sound of Silence,IFC Films,"Michael Tyburski (director/screenplay); Ben Nabors (screenplay); Rashida Jones, Peter Sarsgaard, Tony Revolori, Austin Pendleton",Drama
430,Monos,Neon / Stela Cine / Participant Media,"Alejandro Landes (director); Alejandro Landes, Alexis Dos Santos (screenplay); Julianne Nicholson, Moisés Arias",Drama War
431,Tall Girl,Netflix,"Nzingha Stewart (director); Sam Wolfson (screenplay); Ava Michelle, Griffin Gluck, Luke Eisner, Sabrina Carpenter, Paris Berelc",Comedy Drama Romance
432,Polaroid,Dimension Films / Vertigo Entertainment,"Lars Klevberg (director); Blair Butler (screenplay); Kathryn Prescott, Grace Zabriskie, Samantha Logan, Tyler Young, Javier Botet, Katie Stevens, Madelaine Petsch",Horror Thriller Mystery
433,Ad Astra,20th Century Fox / Regency Enterprises / Plan B Entertainment,"James Gray (director/screenplay); Ethan Gross (screenplay); Brad Pitt, Tommy Lee Jones, Ruth Negga, Liv Tyler, Donald Sutherland, John Ortiz, Lisa Gay Hamilton, Freda Foh Shen, Natasha Lyonne",Science Fiction Drama
434,Downton Abbey,Focus Features / Perfect World Pictures / Carnival Films,"Michael Engler (director); Julian Fellowes (screenplay); Hugh Bonneville, Jim Carter, Michelle Dockery, Elizabeth McGovern, Maggie Smith, Imelda Staunton, Penelope Wilton",Drama Romance History
435,Rambo: Last Blood,Lionsgate / Millennium Films,"Adrian Grunberg (director); Sylvester Stallone, Matt Cirulnick (screenplay); Sylvester Stallone, Adriana Barraza, Paz Vega, Yvette Monreal, Sergio Peris-Mencheta, Oscar Jaenada, Joaquín Cosío",Action Thriller Drama
436,Bloodline,Blumhouse Productions / Momentum Pictures,"Henry Jacobson (director); Avra Fox-Lerne, Henry Jacobson, Will Honley (screenplay); Seann William Scott, Mariela Garriga, Dale Dickey, Kevin Carroll",Thriller Crime Horror
437,Running with the Devil,Patriot Pictures,"Jason Cabell (director/screenplay); Nicolas Cage, Laurence Fishburne",Action
438,Fractured,Netflix,"Brad Anderson (director); Alan B. McElroy (screenplay); Sam Worthington, Lily Rabe, Stephen Tobolowsky",Thriller
439,Abominable,Universal Pictures / DreamWorks Animation / Pearl Studio,"Jill Culton (director/screenplay); Todd Wilderman (co-director); Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Eddie Izzard, Sarah Paulson",Family Animation Adventure Comedy
440,The Laundromat,Netflix,"Steven Soderbergh (director); Scott Z. Burns (screenplay); Meryl Streep, Gary Oldman, Antonio Banderas, Jeffrey Wright, Robert Patrick, David Schwimmer, Sharon Stone",Drama Crime Comedy
441,Judy,Roadside Attractions / LD Entertainment / Pathé,"Rupert Goold (director); Tom Edge (screenplay); Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell, Michael Gambon",Drama History Music
442,Prey,Blumhouse Productions / Image Nation,"Franck Khalfoun (director); David Coggeshall, Franck Khalfoun (screenplay); Logan Miller, Kristine Froseth",Thriller
443,Joker,Warner Bros. Pictures / Village Roadshow Pictures / DC Films,"Todd Phillips (director/screenplay); Scott Silver (screenplay); Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Glenn Fleshler, Bill Camp, Shea Whigham, Marc Maron",Crime Thriller Drama
444,Lucy in the Sky,Fox Searchlight Pictures,"Noah Hawley (director/screenplay); Brian C. Brown, Elliott DiGuiseppi (screenplay); Natalie Portman, Jon Hamm, Zazie Beetz, Dan Stevens, Colman Domingo, Ellen Burstyn",Drama Science Fiction Thriller
445,Dolemite Is My Name,Netflix,"Craig Brewer (director); Scott Alexander and Larry Karaszewski (screenplay); Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Wesley Snipes",Drama Comedy History
446,In the Tall Grass,Netflix,"Vincenzo Natali (director/screenplay); Patrick Wilson, Harrison Gilbertson, Rachel Wilson",Horror Drama Thriller
447,Low Tide,A24 / DirecTV Cinema,"Kevin McMullin (director/screenplay); Keean Johnson, Jaeden Martell, Alex Neustaedter, Kristine Froseth, Shea Whigham",Drama Thriller
448,Wrinkles the Clown,Magnet Releasing,"Michael Beach Nichols (director); Michael Beach Nichols, Christopher K. Walker (screenplay)",Documentary
449,Little Monsters,Neon / Hulu,"Abe Forsythe (director/screenplay); Lupita Nyong'o, Alexander England, Josh Gad",Adventure Fantasy Comedy Family
450,Gemini Man,Paramount Pictures / Skydance Media / Jerry Bruckheimer Films,"Ang Lee (director); David Benioff, Billy Ray, Darren Lemke (screenplay); Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong",Science Fiction Action Thriller
451,The Addams Family,Metro-Goldwyn-Mayer / Bron Animation,"Conrad Vernon, Greg Tiernan (directors); Matt Lieberman, Pamela Pettler (screenplay); Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard, Nick Kroll, Snoop Dogg, Bette Midler, Allison Janney",Animation Comedy Family
452,The King,Netflix / Plan B Entertainment,"David Michôd (director/screenplay); Joel Edgerton (screenplay); Timothée Chalamet, Joel Edgerton, Sean Harris, Lily-Rose Depp, Robert Pattinson, Ben Mendelsohn",Action Thriller Science Fiction
453,Jexi,Lionsgate / CBS Films / Entertainment One,"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña",Comedy
454,El Camino: A Breaking Bad Movie,Netflix,"Vince Gilligan (director/screenplay); Aaron Paul, Jesse Plemons, Scott MacArthur, Scott Shepherd, Robert Forster",Crime Drama Thriller Action
455,Maleficent: Mistress of Evil,Walt Disney Pictures,"Joachim Rønning (director); Linda Woolverton, Noah Harpster, Micah Fitzerman-Blue (screenplay); Angelina Jolie, Elle Fanning, Michelle Pfeiffer, Chiwetel Ejiofor, Sam Riley, Harris Dickinson, Ed Skrein, Imelda Staunton, Juno Temple, Lesley Manville",Family Fantasy Adventure
456,Zombieland: Double Tap,Columbia Pictures,"Ruben Fleischer (director); Rhett Reese, Paul Wernick, David Callaham (screenplay); Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin, Rosario Dawson, Zoey Deutch, Luke Wilson",Horror Action Comedy
457,Jojo Rabbit,Fox Searchlight Pictures,"Taika Waititi (director/screenplay); Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Rebel Wilson, Stephen Merchant, Alfie Allen, Sam Rockwell",Comedy War Drama
458,The Lighthouse,A24 / Regency Enterprises,"Robert Eggers (director/screenplay); Max Eggers (screenplay); Willem Dafoe, Robert Pattinson",Drama Fantasy Thriller Horror
459,Wounds,Hulu / Annapurna Pictures,"Babak Anvari (director/screenplay); Armie Hammer, Dakota Johnson, Zazie Beetz",Horror Drama Mystery Thriller
460,Black and Blue,Screen Gems,"Deon Taylor (director); Peter A. Dowling (screenplay); Naomie Harris, Tyrese Gibson, Frank Grillo, Mike Colter, Reid Scott, Beau Knapp",Action Thriller
461,The Current War,101 Studios / Lantern Entertainment,"Alfonso Gomez-Rejon (director); Michael Mitnick (screenplay); Benedict Cumberbatch, Michael Shannon, Katherine Waterston, Tom Holland, Tuppence Middleton, Matthew Macfadyen, Nicholas Hoult",Drama History
462,Countdown,STX Entertainment,"Justin Dec (director/screenplay); Elizabeth Lail, Peter Facinelli, Anne Winters, Talitha Bateman, Tichina Arnold, P. J. Byrne",Horror Thriller
463,The Kill Team,A24,"Dan Krauss (director); Nat Wolff, Alexander Skarsgård",War Action Drama
464,The Gallows Act II,Blumhouse Productions / Lionsgate,"Chris Lofing, Travis Cluff (director/screenplay); Chris Milligan, Ema Horvath, Brittany Falardeau",Horror Thriller
465,Terminator: Dark Fate,Paramount Pictures / 20th Century Fox / Skydance Media / Tencent Pictures,"Tim Miller (director); David S. Goyer, Justin Rhodes, Billy Ray (screenplay); Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna, Diego Boneta",Action Adventure Science Fiction
466,Motherless Brooklyn,Warner Bros. Pictures,"Edward Norton (director/screenplay); Edward Norton, Bruce Willis, Gugu Mbatha-Raw, Bobby Cannavale, Cherry Jones, Alec Baldwin, Willem Dafoe",Drama Thriller
467,The Irishman,Netflix / TriBeCa Productions,"Martin Scorsese (director); Steven Zaillian (screenplay); Robert De Niro, Al Pacino, Joe Pesci, Ray Romano, Bobby Canavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jesse Plemons, Harvey Keitel",Crime Drama History
468,Harriet,Focus Features,"Kasi Lemmons (director/screenplay); Gregory Allen Howard (screenplay); Cynthia Erivo, Leslie Odom Jr., Joe Alwyn, Janelle Monáe",Drama History
469,Arctic Dogs,Assemblage Entertainment,"Aaron Woodley (director/screenplay); Bob Barlen, Cal Brunker (screenplay); Jeremy Renner, James Franco, Heidi Klum, Alec Baldwin, Omar Sy, Anjelica Huston, John Cleese",Animation Adventure Comedy
470,Marriage Story,Netflix,"Noah Baumbach (director/screenplay); Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever",Drama
471,Doctor Sleep,Warner Bros. Pictures / Intrepid Pictures,"Mike Flanagan (director/screenplay); Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Carl Lumbly, Zahn McClarnon, Emily Alyn Lind, Bruce Greenwood, Jocelin Donahue",Horror Thriller
472,Last Christmas,Universal Pictures / Perfect World Pictures,"Paul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson",Comedy Romance Drama
473,Playing with Fire,Paramount Players / Nickelodeon Movies / Walden Media,"Andy Fickman (director); Dan Ewen, Matt Lieberman (screenplay); John Cena, Keegan-Michael Key, John Leguizamo, Brianna Hildebrand, Dennis Haysbert, Judy Greer",Comedy Family
474,Let It Snow,Netflix,"Luke Snellin (director); Laura Solon, Victoria Strouse, Kay Cannon (screenplay); Isabela Merced, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack",Romance Comedy
475,Midway,Lionsgate / Summit Entertainment / AGC Studios,"Roland Emmerich (director); Wes Tooke (screenplay); Ed Skrein, Patrick Wilson, Luke Evans, Aaron Eckhart, Nick Jonas, Mandy Moore, Dennis Quaid, Woody Harrelson",War History Action Drama
476,Klaus,Netflix,"Sergio Pablos (director); Zach Lewis, Jim Mahoney (screenplay); J. K. Simmons, Jason Schwartzman, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack",Animation Family Adventure Comedy
477,Honey Boy,Amazon Studios,"Alma Har'el (director); Shia LaBeouf (screenplay); Shia LaBeouf, Lucas Hedges, Noah Jupe, FKA Twigs",Drama
478,Lady and the Tramp,Walt Disney Pictures / Disney+,"Charlie Bean (director); Andrew Bujalski, Kari Granlund (screenplay); Tessa Thompson, Justin Theroux, Kiersey Clemons, Thomas Mann, Janelle Monáe, F. Murray Abraham, Yvette Nicole Brown, Adrian Martinez, Ken Jeong, Sam Elliott",Family Animation Romance
479,Noelle,Walt Disney Pictures / Disney+,"Marc Lawrence (director/screenplay); Anna Kendrick, Bill Hader, Kingsley Ben-Adir, Billy Eichner, Julie Hagerty, Shirley MacLaine",Family Comedy Fantasy
480,Ford v Ferrari,20th Century Fox / Chernin Entertainment,"James Mangold (director); Jez Butterworth, John-Henry Butterworth, Jason Keller (screenplay); Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe, Tracy Letts, Josh Lucas, Noah Jupe, Remo Girone, Ray McKinnon",Drama Action History
481,Charlie's Angels,Columbia Pictures,"Elizabeth Banks (director/screenplay); Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks, Djimon Hounsou, Sam Claflin, Noah Centineo, Nat Faxon, Patrick Stewart",Action Adventure Comedy
482,The Good Liar,Warner Bros. Pictures / New Line Cinema / Bron Studios,"Bill Condon (director); Jeffrey Hatcher (screenplay); Ian McKellen, Helen Mirren, Russell Tovey, Jim Carter",Crime
483,The Report,Amazon Studios,"Scott Z. Burns (director/screenplay); Adam Driver, Annette Bening, Ted Levine, Michael C. Hall, Tim Blake Nelson, Corey Stoll, Maura Tierney, Jon Hamm",Thriller Drama
484,Waves,A24,"Trey Edward Shults (director/screenplay); Kelvin Harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie, Renée Elise Goldsberry, Sterling K. Brown",Romance Drama
485,Frozen II,Walt Disney Pictures / Walt Disney Animation Studios,"Chris Buck, Jennifer Lee (directors); Jennifer Lee (screenplay); Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciarán Hinds",Family Animation Adventure Comedy Fantasy
486,A Beautiful Day in the Neighborhood,TriStar Pictures / Tencent Pictures / Big Beach,"Marielle Heller (director); Micah Fitzerman-Blue, Noah Harpster (screenplay); Tom Hanks, Matthew Rhys, Susan Kelechi Watson, Chris Cooper",Drama
487,21 Bridges,STX Entertainment,"Brian Kirk (director); Matthew Michael Carnahan, Adam Mervis (screenplay); Chadwick Boseman, Sienna Miller, Stephan James, Keith David, Taylor Kitsch, J.K. Simmons",Crime Action Drama
488,Dark Waters,Focus Features / Participant,"Todd Haynes (director); Mario Correa, Matthew Michael Carnahan (screenplay); Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Bill Pullman",Drama Thriller History
489,Knives Out,Lionsgate / Media Rights Capital,"Rian Johnson (director/screenplay); Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, Lakeith Stanfield, Katherine Langford, Jaeden Martell, Christopher Plummer",Comedy Drama Crime Mystery
